nspname|proname|args|prosecdef|cfg|anon_x|auth_x|svc_x
public|dp_folga_atribuir_admin|p_colaborador uuid, p_data date, p_motivo text|t|search_path=public|f|t|t
public|dp_folga_autoatribuicao_plano|_company uuid, _unidade uuid, _competencia date|t|search_path=public|f|t|t
public|dp_folga_autoatribuicao_previa|_company uuid, _unidade uuid, _competencia date|t|search_path=public|f|f|t
public|dp_folga_autoatribuir_aplicar|_company uuid, _unidade uuid, _competencia date, _itens jsonb|t|search_path=public|f|t|t
public|dp_folga_autoatribuir_competencia|_company uuid, _unidade uuid, _competencia date|t|search_path=public|f|f|t
public|dp_folga_autoatribuir_manual|_company uuid, _unidade uuid, _competencia date|t|search_path=public|f|f|t
public|dp_folga_autoatribuir_todas||t|search_path=public|f|f|t
public|dp_folga_cancelar_admin|p_folga_id uuid, p_motivo text|t|search_path=public|f|t|t
public|dp_folga_conflito_colaboradores|_company uuid, _colaborador uuid, _data date|t|search_path=public|f|t|t
public|dp_folga_criar_admin|p_colaborador_id uuid, p_data date, p_tipo text, p_extra boolean, p_observacao text, p_confirmar_deficit boolean, p_substituir_ids uuid[]|t|search_path=public|f|t|t
public|dp_folga_dias_fds_aplicaveis|_company uuid, _unidade uuid|t|search_path=public|f|t|t
public|dp_folga_escopo_empresa_ok|_company uuid|t|search_path=public|f|t|t
public|dp_folga_exige_descanso_fds|_company uuid, _colab uuid, _dias integer[], _competencia date|t|search_path=public|f|f|t
public|dp_folga_limite_dia|p_company uuid, p_unidade uuid, p_cargo uuid, p_data date, p_ignorar_colaborador uuid, p_setor uuid|t|search_path=public|f|t|t
public|dp_folga_limite_setor_validar||t|search_path=public|f|f|t
public|dp_folga_marcadas_no_mes|_company uuid, _colab uuid, _competencia date, _dias integer[]|t|search_path=public|f|t|t
public|dp_folga_marcar|p_data date|t|search_path=public|f|t|t
public|dp_folga_ocupado_no_dia|_company uuid, _colab uuid, _data date|t|search_path=public|f|t|t
public|dp_folga_remover|p_data date|t|search_path=public|f|t|t
public|dp_folga_reserva_indisponibilidade|p_company uuid, p_unidade uuid, p_cargo uuid, p_data date, p_setor uuid|t|search_path=public|f|t|t
public|dp_folga_solicitar|p_data date, p_motivo text, p_fora_da_janela boolean|t|search_path=public|f|t|t
public|dp_folga_troca_fds_solicitar|p_data_folga date, p_data_trabalho date, p_motivo text|t|search_path=public|f|t|t
public|dp_folgas_janela_efetiva|_company uuid, _unidade uuid, _data_ref date|t|search_path=public|f|t|t
public|dp_folgas_validar_cobertura||t|search_path=public|f|f|t
public|dp_folgas_validar_unificado||t|search_path=public|f|f|t
public|dp_folha_pendencias_remuneracao|_company_id uuid|t|search_path=public|f|t|t
public|dp_gerar_bloqueios_ano|_company_id uuid, _ano integer|t|search_path=public|f|t|t
public|dp_gerar_folgas_clt|_unidade_id uuid, _ano integer, _mes integer|t|search_path=public|f|t|t
public|dp_gerar_prioridades_aniversario|_company_id uuid, _ano integer, _mes integer|t|search_path=public|f|t|t
